element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),life_cycle_stage,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Stored Biogenic Carbon,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,28,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Column foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",342922,Calculated from takeoff from Revit,C2-C4: End-of-life,13819.7566,0.0,0,0,31.377363,1.5911580799999998,624.11804,1.24823608e-09
Element_1,29,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Column foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",38407,Calculated from takeoff from Revit,C2-C4: End-of-life,514.6538,-7.68140000000002,0,0,2.3428269999999998,0.11867763,46.472469999999994,9.332901e-11
Element_2,30,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Wall foundation,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",2357586,Calculated from takeoff from Revit,C2-C4: End-of-life,95010.7158,0.0,0,0,215.719119,10.939199039999998,4290.80652,8.58161304e-09
Element_3,31,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR3,Wall foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",264045,Calculated from takeoff from Revit,C2-C4: End-of-life,3538.203,-52.80900000000014,0,0,16.106745,0.8158990500000001,319.49445,6.4162935e-10
Element_4,32,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR3,Slab on grade,Concrete Slab on grade,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,C2-C4: End-of-life,21593.344500000003,0.0,0,0,49.0270725,2.4861815999999997,975.1833,1.9503666e-09
Element_5,33,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR3,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit,C2-C4: End-of-life,3.226496,-0.061216999999999924,0,0,0.01465607,0.000741806,0.2906007,5.83362e-13
Element_6,34,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Elevated slabs,Concrete topping,"Lightweight concrete, 5000 psi","Lightweight concrete, 5000 psi, 20% fly ash",2551980,Calculated from takeoff from Revit,C2-C4: End-of-life,102844.79400000001,0.0,0,0,233.50617,11.841187199999998,4644.6036,9.2892072e-09
Element_7,35,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Elevated slabs,Steel deck,"Steel decking, galvanized",Galvanized steel decking,132267,Calculated from takeoff from Revit,C2-C4: End-of-life,1772.3778,-26.45340000000007,0,0,8.068287,0.40870503,160.04307,3.2140881e-10
Element_8,36,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Elevated slabs,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",17149,Calculated from takeoff from Revit,C2-C4: End-of-life,15.365504,-0.29153299999999965,0,0,0.06979643,0.003532694,1.3839242999999999,2.7781379999999998e-12
Element_9,37,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural framing: beams,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",44512,Calculated from takeoff from Revit,C2-C4: End-of-life,39.882751999999996,-0.756703999999999,0,0,0.18116384,0.009169472,3.5921184,7.210944e-12
Element_10,38,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural framing: girders,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",41074,Calculated from takeoff from Revit,C2-C4: End-of-life,36.802304,-0.6982579999999992,0,0,0.16717118,0.008461244,3.3146717999999997,6.653988e-12
Element_11,39,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural columns,Steel W Shape,"Steel, hot rolled structural steel","Hot rolled structural steel, AISC - EPD",121621,Calculated from takeoff from Revit,C2-C4: End-of-life,108.972416,-2.0675569999999976,0,0,0.49499747,0.025053926,9.8148147,1.9702602e-11
Element_12,40,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural walls,Concrete shear wall,"Normalweight concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",1092652,Calculated from takeoff from Revit,C2-C4: End-of-life,44033.8756,0.0,0,0,99.977658,5.0699052799999995,1988.62664,3.97725328e-09
Element_13,41,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR3,Structural walls,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",142771,Calculated from takeoff from Revit,C2-C4: End-of-life,1913.1314,-28.554200000000076,0,0,8.709031,0.44116239,172.75290999999999,3.4693353e-10
Element_14,17,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO2,Curtain wall: aluminum spandrel,Insulation,"5"" Mineral wool insulation","Mineral wool, low density, NAIMA - EPD",10806,"Kaleidoscope Calculator, Payette",C2-C4: End-of-life,484.1088,-8.644800000000023,0,0,2.193618,0.11130179999999999,43.548179999999995,8.742054e-11
Element_15,18,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO2,Curtain wall: aluminum spandrel,Interior finish,Acrylic latex paint,"Paint, interior acrylic latex",509,"Kaleidoscope Calculator, Payette",C2-C4: End-of-life,22.8032,0.0,0,0,0.103327,0.0052426999999999994,2.0512699999999997,4.11781e-12
Element_16,19,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO2,Curtain wall: aluminum spandrel,Wall structure,"6"" galvanized steel stud framing",Cold formed structural steel,14975,"Kaleidoscope Calculator, Payette",C2-C4: End-of-life,13.4176,-0.2545749999999997,0,0,0.06094825,0.00308485,1.2084825,2.4259499999999998e-12
Element_17,20,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO2,Curtain wall: aluminum spandrel,Exterior finish + support,Aluminum curtain wall system,"Aluminum curtain wall system, YKK AP - EPD",10917,"Kaleidoscope Calculator, Payette",C2-C4: End-of-life,24.454079999999998,-0.4366799999999964,0,0,0.1113534,0.0056222550000000005,2.205234,4.421385e-12
Element_18,21,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO2,Curtain wall: aluminum spandrel,Interior finish,Gypsum wall board,"Wall board, gypsum, natural",30644,"Kaleidoscope Calculator, Payette",C2-C4: End-of-life,1372.8512,-24.515200000000064,0,0,6.220732,0.3156332,123.49531999999999,2.4790996e-10
Element_19,1,Commercial,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT2,Glazing: triple pane IGU,Glazing,Triple pane IGU,"Glazing, triple, insulated (air)",54275,"Viracon triple pane IGU, 1-5/16"" Clear Insulating Low-E Laminated  Glass Unit with a ½” VTS Airspace  and Both Lites Heat Treated",C2-C4: End-of-life,2431.52,-43.420000000000115,0,0,11.017825,0.5590324999999999,218.72824999999997,4.3908475e-10
Element_20,0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Waterproofing system,EPDM membrane,"EPDM, non-reinforced membrane, 60 mils, SPRI - EPD",10829,,C2-C4: End-of-life,485.1392,-8.663200000000023,0,0,7.526155,2.869685,63.133070000000004,8.760661e-11
Element_21,1,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Insulation,Polyisocyanurate board,"PIR rigid foam insulation, wall, R=14.6, PIMA - EPD",9755,,C2-C4: End-of-life,437.024,-7.804000000000021,0,0,6.779725,2.585075,56.87165,7.891795e-11
