element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),Assembly,life_cycle_stage,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Stored Biogenic Carbon,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,92,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR8,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,Column foundation,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_1,93,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR8,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",60010,Calculated from takeoff from Revit,Column foundation,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_2,94,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR8,Concrete footing,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",2357586,Calculated from takeoff from Revit,Wall foundation,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_3,95,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR8,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",264045,Calculated from takeoff from Revit,Wall foundation,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_4,96,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR8,Concrete Slab on grade,"Normalweight concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,Slab on grade,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_5,97,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR8,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit,Slab on grade,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_6,98,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR8,Concrete topping,"Lightweight concrete, 5000 psi","Lightweight concrete, 5000 psi, 20% fly ash",1607445,Calculated from takeoff from Revit,Elevated slabs,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_7,99,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR8,Cross laminated timber,CLT (Cross laminated timber),CLT (Cross laminated timber),775305,Calculated from takeoff from Revit,Elevated slabs,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_8,100,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR8,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",10802,Calculated from takeoff from Revit,Elevated slabs,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_9,101,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR8,Glue laminated timber,Glue laminated timber (Glulam),"Glue laminated timber (Glulam), AWC - EPD",109396,Calculated from takeoff from Revit,Structural framing: beams,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_10,102,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR8,Glue laminated timber,Glue laminated timber (Glulam),"Glue laminated timber (Glulam), AWC - EPD",76129,Calculated from takeoff from Revit,Structural framing: girders,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_11,103,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR8,Glue laminated timber,Glue laminated timber (Glulam),"Glue laminated timber (Glulam), AWC - EPD",107537,Calculated from takeoff from Revit,Structural columns,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_12,104,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR8,Concrete shear wall,"Normalweight concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",1092652,Calculated from takeoff from Revit,Structural walls,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Element_13,105,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR8,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",142771,Calculated from takeoff from Revit,Structural walls,B2-B5: Replacement,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Element_14,22,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO3,Exterior finish,Brick,"Brick, generic",360492,"Kaleidoscope Calculator, Payette",MV: brick,B2-B5: Replacement,131772.87558112707,-113.55497999999932,0.0,0.0,300.466729020649,16.149740866037856,6269.835903120822,8.929613914199196e-05
Element_15,23,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO3,Support,Galvanized steel shelf angle with knife plate,Galvanized steel,12117,"Kaleidoscope Calculator, Payette",MV: brick,B2-B5: Replacement,35870.21344963472,-669.1007400000001,0.0,0.0,190.07273194919858,8.280085305869918,2895.430154578454,0.0007836072203669591
Element_16,24,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO3,Insulation,"4"" Mineral wool insulation","Mineral wool, low density, NAIMA - EPD",9412,"Kaleidoscope Calculator, Payette",MV: brick,B2-B5: Replacement,16501.237791671774,-836.5385600000001,0.0,0.0,119.08561925108991,3.022366939646912,699.0918548058015,0.0004041459333444011
Element_17,25,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO3,AVB,AVB membrane,"Self-adhering, polymer-modified asphalt sheet underlayment",6719,"Kaleidoscope Calculator, Payette",MV: brick,B2-B5: Replacement,6347.5245308375115,23.650879999999987,0.0,0.0,29.580603989383043,1.6254501285473435,442.1548992010392,1.8480739314842643e-06
Element_18,26,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO3,Wall structure,Sheathing,Fiberglass mat gypsum sheathing board,30261,"Kaleidoscope Calculator, Payette",MV: brick,B2-B5: Replacement,19377.75756052105,-723.8431200000001,0.0,0.0,81.51241450797984,7.305451840048824,1173.6082517768534,0.0006833304283184896
Element_19,27,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO3,Wall structure,"6"" galvanized steel stud framing",Cold formed structural steel,14975,"Kaleidoscope Calculator, Payette",MV: brick,B2-B5: Replacement,39311.74280468364,-308.74721224999996,0.0,0.0,154.4504248869484,7.10037260238449,2299.8088882614697,0.0004888094304812424
Element_20,28,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO3,Interior finish,Acrylic latex paint,"Paint, interior acrylic latex",509,"Kaleidoscope Calculator, Payette",MV: brick,B2-B5: Replacement,1423.221260134168,27.995000000000005,0.0,0.0,5.48642326664256,0.28791709472081567,108.0277905964488,3.29335182784696e-07
Element_21,29,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO3,Interior finish,Gypsum wall board,"Wall board, gypsum, natural",30644,"Kaleidoscope Calculator, Payette",MV: brick,B2-B5: Replacement,11552.915807911406,-28.192480000000074,0.0,0.0,21.930248836143363,1.3224342504416957,558.3601607429327,8.312327574396974e-06
Element_22,30,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO3,Exterior finish,Type N mortar,Mortar type N,57846,"Kaleidoscope Calculator, Payette",MV: brick,B2-B5: Replacement,10505.942550163272,1.1723955140041653e-13,0.0,0.0,31.18597979764224,3.303917847112464,767.9556371118553,1.5690341383965985e-05
Element_23,0,Commercial,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT1,Glazing,Double pane IGU,"Glazing, double, insulated (air)",35343,"Viracon IGU, 1” Clear Insulating Low-E Glass Unit with a  ½” VTS Airspace and Both Lites Fully Tempered  and Heat Soak Tested",Glazing: double pane IGU,B2-B5: Replacement,109016.98877420367,-57.11428800000015,0.0,0.0,830.2371504329549,36.02896571942237,11232.010623582302,6.138578726727403e-05
Element_24,0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,Waterproofing system,EPDM membrane,"EPDM, non-reinforced membrane, 60 mils, SPRI - EPD",10829,,EPDM roofing,B2-B5: Replacement,123431.2432945705,-1524.29004,0.0,0.0,344.2467335818493,34.80558916519121,4865.1837323551645,8.840665953176148e-06
Element_25,1,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,Insulation,Polyisocyanurate board,"PIR rigid foam insulation, wall, R=14.6, PIMA - EPD",9755,,EPDM roofing,B2-B5: Replacement,103708.09602161625,-3728.9462999999996,0.0,0.0,399.9759746157,35.9061878213325,4816.800369232875,0.00472320176449965
