element_index,Revit model,Revit category,Revit building element,Tally Entry Division,Material Name,Mass Total (kg),GWP,AP,EP,ODP,SFP
Element_0,tm_1,Curtainwall Mullions,Enclosure,08 - Openings and Glazing,"Aluminum extrusion, mill-finished, Kawneer - EPD",2217.515116,,,,,
Element_1,tm_1,Curtainwall Mullions,Enclosure,08 - Openings and Glazing,"Powder coating, metal stock",80.66089674,863.0715951179999,0.9517985815319999,0.11131203750119999,3.5248811875380003e-10,17.50341459258
Element_10,tm_1,Floors,Superstructure,03 - Concrete,"Steel, reinforcing rod",3127.029369,5972.626094789999,25.14131612676,0.7567411072979999,-2.692372286709e-05,298.0058988657
Element_11,tm_1,Floors,Superstructure,06 - Wood/Plastics/Composites,CLT (Cross laminated timber),107316.4241,39814.3933411,397.07076917,23.2876640297,0.0066536182942,5269.23642331
Element_12,tm_1,Floors,Substructure,03 - Concrete,"Structural concrete, 4000 psi, 20% fly ash",353252.5258,60759.43443759999,154.5370292092002,11.268755573020002,1.088017779464e-08,3426.468252179066
Element_13,tm_1,Floors,Substructure,03 - Concrete,"Steel, reinforcing rod",6919.221465,13215.712998149998,55.6305405786,1.6744515945299998,-5.957449681365e-05,659.4018056145
Element_14,tm_1,Floors,Substructure,07 - Thermal and Moisture Protection,"Expanded polystyrene (EPS), board",160.3866191,521.2565120749999,0.931846256971,0.056616476542299995,2.14918069594e-08,25.0203125796
Element_15,tm_1,Structural Columns,Superstructure,06 - Wood/Plastics/Composites,"Glue laminated timber (Glulam), AWC - EPD",41625.84161,,,,,
Element_16,tm_1,Structural Foundations,Substructure,03 - Concrete,"Structural concrete, 4000 psi, 20% fly ash",175841.2573,30244.696255599996,76.9250989897737,5.609336107870001,5.41591072484e-09,1705.619752320821
Element_17,tm_1,Structural Foundations,Substructure,03 - Concrete,"Steel, reinforcing rod",2537.189455,4846.03185905,20.3990032182,0.6139998481100001,-2.1845201207550003e-05,241.7941550615
Element_18,tm_1,Structural Foundations,Substructure,03 - Concrete,"Structural concrete, 4000 psi, 20% fly ash",123088.8801,21171.2873772,53.8475692884669,3.92653527519,3.79113750708e-09,1193.933826527577
Element_19,tm_1,Structural Foundations,Substructure,03 - Concrete,"Steel, reinforcing rod",1776.032618,3392.22230038,14.27930224872,0.429799893556,-1.529164084098e-05,169.25590849539998
Element_2,tm_1,Curtainwall Panels,Enclosure,08 - Openings and Glazing,"Glazing, double, insulated (air)",20050.9039,,,,,
Element_20,tm_1,Structural Framing,Superstructure,06 - Wood/Plastics/Composites,"Glue laminated timber (Glulam), AWC - EPD",264754.7337,,,,,
Element_21,tm_1,Structural Framing,Superstructure,06 - Wood/Plastics/Composites,"Glue laminated timber (Glulam), AWC - EPD",112333.5436,,,,,
Element_22,tm_1,Walls,Enclosure,03 - Concrete,"Structural concrete, 6000 psi, Pacific Southwest regional average",653458.1668,128077.80069280001,373.9976333536448,25.1581394218,2.280569002132e-08,8111.670934121627
Element_23,tm_1,Walls,Enclosure,03 - Concrete,"Steel, reinforcing rod",77470.33798,147968.3455418,622.8615173592,18.74782179116,-0.0006670196100078001,7382.923209493999
Element_24,tm_1,Walls,Enclosure,07 - Thermal and Moisture Protection,"Aluminum, sheet",2947.796819,16566.61812278,89.0234639338,1.745095716848,1.4709506126810003e-06,775.270563397
Element_25,tm_1,Walls,Enclosure,07 - Thermal and Moisture Protection,"Powder coating, metal stock",731.498137,7827.0300658999995,8.6316780166,1.00946742906,3.1966468586900005e-09,158.735095729
Element_26,tm_1,Walls,Enclosure,07 - Thermal and Moisture Protection,Polyurethane foam (PUR) rigid board,2286.775714,,,,,
Element_27,tm_1,Walls,Enclosure,07 - Thermal and Moisture Protection,"Steel, sheet",6357.712898,14813.471052339999,57.60087885588,2.613020001078,0.0001888240730706,807.429538046
Element_28,tm_1,Walls,Enclosure,07 - Thermal and Moisture Protection,"Fasteners, stainless steel",1650.559899,9540.23621622,119.8306486674,13.897714349580001,0.0005826476443470001,618.9599621250001
Element_29,tm_1,Walls,Enclosure,09 - Finishes,Fiberglass mat gypsum sheathing board,18381.23524,8694.32426852,35.6595963656,3.4556722251200003,0.000356595963656,428.28278109200005
Element_3,tm_1,Floors,Superstructure,03 - Concrete,"Lightweight concrete, 3000 psi, 20% fly ash",764812.8918,194262.4745172,883.4644342080684,32.58102919068,3.281047305822e-08,11348.001530003732
Element_30,tm_1,Walls,Enclosure,05 - Metals,Cold formed structural steel,7135.263235,,,,,
Element_31,tm_1,Walls,Enclosure,05 - Metals,"Cellulose insulation, boards",15245.17143,25916.791431,124.5530505831,48.784548576000006,5.8998813434100006e-08,1737.9495430200002
Element_32,tm_1,Walls,Enclosure,09 - Finishes,"Wall board, gypsum, natural",19056.46429,4649.77728676,4.1924221438,0.297280842924,5.03090657256e-10,103.2860364518
Element_33,tm_1,Walls,Enclosure,09 - Finishes,"Paint, interior acrylic latex",366.3063575,,,,,
Element_4,tm_1,Floors,Superstructure,03 - Concrete,"Steel, reinforcing rod",12508.11748,23890.5043868,100.56526453920002,3.02696443016,-0.00010769489150280001,1192.023595844
Element_5,tm_1,Floors,Superstructure,06 - Wood/Plastics/Composites,CLT (Cross laminated timber),429265.6963,159257.5733273,1588.28307631,93.1506560971,0.0266144731706,21076.94568833
Element_6,tm_1,Floors,Superstructure,07 - Thermal and Moisture Protection,"PVC membrane, sheet",2256.289681,6994.4980111,14.914074791410002,0.938616507296,4.3997648779500005e-07,257.21702363400004
Element_7,tm_1,Floors,Superstructure,07 - Thermal and Moisture Protection,"Adhesive, polychloroprene (neoprene)",122.469949,317.19716790999996,0.5462159725400001,0.039557793527,1.7880612554e-10,258.41159239
Element_8,tm_1,Floors,Superstructure,07 - Thermal and Moisture Protection,"PIR rigid foam insulation, roof, R=15, PIMA - EPD",6096.050734,,,,,
Element_9,tm_1,Floors,Superstructure,03 - Concrete,"Lightweight concrete, 3000 psi, 20% fly ash",191203.223,48565.618642,220.866108609774,8.145257299799999,8.2026182667e-09,2837.000383242814
